# r2 direct single double poly
5.6031673719364797e+01 3.7496625414923852e-03 3.7501284400000001e-03 3.7501199585900074e-03 3.7496970035135746e-03
5.7874621625818634e+01 2.9277417845969453e-03 2.9278146100000001e-03 2.9278243828874079e-03 2.9277701396495104e-03
6.9725763187985606e+01 6.1096937055131635e-04 6.1109417600000002e-04 6.1109627198309836e-04 6.1079044826328754e-04
4.5098283814430722e+01 1.6738848361213698e-02 1.6739761499999999e-02 1.6739740041668876e-02 1.6738824546337128e-02
3.4111193955876189e+01 8.0700993486982189e-02 8.0702215399999999e-02 8.0702177380406401e-02 8.0700688064098358e-02
4.5715083847770657e+01 1.5360839181928260e-02 1.5360852700000000e-02 1.5360856271759992e-02 1.5360805206000805e-02
5.9997205175497214e+01 2.2048254715801721e-03 2.2048391400000000e-03 2.2048389027554023e-03 2.2048365790396929e-03
6.7939566302278493e+01 7.7190992624766276e-04 7.7211798599999997e-04 7.7211672649859944e-04 7.7190948650240898e-04
6.8263037374165407e+01 7.3986584436983537e-04 7.4001587899999997e-04 7.4001544014045881e-04 7.3986809002235532e-04
2.7382353291708135e+01 2.2382613508394755e-01 2.2382700400000000e-01 2.2382757771886297e-01 2.2382561862468719e-01
3.5857892546149401e+01 6.2444033349633332e-02 6.2445227100000000e-02 6.2445114913104803e-02 6.2443848699331284e-02
3.2765537359119875e+01 9.8535192871419777e-02 9.8536536100000002e-02 9.8536674188420714e-02 9.8534576594829559e-02
1.7576048284318706e+01 1.1477418961492425e+00 1.1477412000000000e+00 1.1477436040698117e+00 1.1477415561676025e+00
1.1389938148308138e+01 3.9018720515381258e+00 3.9018836000000001e+00 3.9018734064807843e+00 3.9018745422363281e+00
1.8117824910777696e+01 1.0411076831717849e+00 1.0411073000000000e+00 1.0411086617265011e+00 1.0411030054092407e+00
4.5370502154606555e+01 1.6115644611962823e-02 1.6115903899999999e-02 1.6115938480545683e-02 1.6115611419081688e-02
3.9262729883248525e+01 3.8168194556334002e-02 3.8169361700000001e-02 3.8169351627424922e-02 3.8168273866176605e-02
4.0879981151045612e+01 3.0305219685120125e-02 3.0305901499999999e-02 3.0305930793813319e-02 3.0305352061986923e-02
7.5565769585143601e+00 1.0015613468250532e+01 1.0015605900000001e+01 1.0015614636767374e+01 1.0015616416931152e+01
9.8111028773894855e+00 5.6040329683405163e+00 5.6040391899999999e+00 5.6040338083460641e+00 5.6040349006652832e+00
1.2854198041881768e+01 2.8532305311429864e+00 2.8532288100000001e+00 2.8532315420925207e+00 2.8532278537750244e+00
3.3669076510393310e+01 8.6154539930490770e-02 8.6155004800000004e-02 8.6155317526392466e-02 8.6153797805309296e-02
4.1049885962401788e+01 2.9582761024733204e-02 2.9583765200000001e-02 2.9583785308320145e-02 2.9582891613245010e-02
4.0420489894617290e+01 3.2351875747350829e-02 3.2351795599999997e-02 3.2351897179865197e-02 3.2352000474929810e-02
2.4445672280513040e+01 3.5671096711701616e-01 3.5671201299999999e-01 3.5671232680305059e-01 3.5670956969261169e-01
1.8014525894824793e+01 1.0605519295123365e+00 1.0605541500000000e+00 1.0605536774375912e+00 1.0605483055114746e+00
3.2757145828823639e+01 9.8658549765513970e-02 9.8659649500000002e-02 9.8659884432033551e-02 9.8657928407192230e-02
9.7116937565972492e+00 5.7391960268851410e+00 5.7392034499999998e+00 5.7391969152082378e+00 5.7391920089721680e+00
6.4070389650865023e+00 1.4058660187822568e+01 1.4058656700000000e+01 1.4058660654955471e+01 1.4058653831481934e+01
7.6693264009864315e+00 9.7060935425766868e+00 9.7060584999999993e+00 9.7060941235132550e+00 9.7060985565185547e+00
1.3916314794807693e+01 2.2982653730937166e+00 2.2982645000000002e+00 2.2982663848523472e+00 2.2982659339904785e+00
1.2648970265161328e+01 2.9778896011171647e+00 2.9778795200000001e+00 2.9778907466365778e+00 2.9778857231140137e+00
9.0889559299363025e+00 6.6851874653670222e+00 6.6851949700000004e+00 6.6851887029180448e+00 6.6851835250854492e+00
1.1326812892270725e+01 3.9566453111369708e+00 3.9566552599999998e+00 3.9566457247159788e+00 3.9566473960876465e+00
1.7324052759068980e+01 1.2014760456362392e+00 1.2014770500000000e+00 1.2014762936574963e+00 1.2014800310134888e+00
1.3560834285469895e+01 2.4686116816741412e+00 2.4686145800000001e+00 2.4686132113479187e+00 2.4686112403869629e+00
3.9526914775525711e+01 3.6751919540584779e-02 3.6753032400000003e-02 3.6753089735275100e-02 3.6752037703990936e-02
5.1204757668478848e+01 7.2115370429257633e-03 7.2115482799999997e-03 7.2115902395401606e-03 7.2115128859877586e-03
4.1897655455216331e+01 2.6234890625203962e-02 2.6234988099999999e-02 2.6235072223407985e-02 2.6235023513436317e-02
1.3935890011691399e+02 9.4950270429149918e-08 9.5346699400000000e-08 9.5347136236847528e-08 9.4452538235145767e-08
9.1487028585189705e+01 3.7152891470361316e-05 3.7162306399999998e-05 3.7162519930808762e-05 3.7123601941857487e-05
8.4978829406870148e+01 8.5145437882327944e-05 8.5200408599999996e-05 8.5200882488812506e-05 8.5023035353515297e-05
1.1043782452833018e+02 3.4173142654484335e-06 3.4229203699999999e-06 3.4229088054501395e-06 3.4211152524221689e-06
1.3245825395128122e+02 2.2214571504226748e-07 2.2223972000000000e-07 2.2223955306346662e-07 2.2647543573839357e-07
