     0 -1.504179e-01 -4.745171e-02 +8.729520e-02 -8.074065e-02     65
     1 +6.934632e-02 +2.255171e-02 -5.439900e-02 -3.621567e-02     27
     2 -9.294576e-04 +6.623861e-03 -4.097881e-03 -9.950967e-04      2
     3 +8.649276e-02 -3.062149e-02 +1.929671e-02 -2.592173e-02     19
     4 -4.400545e-02 +4.697863e-02 +5.029146e-02 -1.478052e-02     13
     5 +3.237366e-03 +6.353090e-03 +1.785131e-02 -1.604233e-03      2
     6 +6.954387e-03 +1.470430e-02 +4.927417e-02 -2.783672e-02     24
     7 -1.639389e-01 +1.381212e-02 -6.175213e-02 -3.462527e-02     24
     8 -2.220116e-02 -3.184962e-02 -7.146989e-03 -6.660788e-03      6
     9 -9.225812e-03 -1.068551e-02 -3.339643e-03 -1.255570e-02     12
    10 -1.187655e-01 -5.746413e-02 +5.680371e-02 -3.743160e-02     28
    11 -4.141551e-03 +1.301869e-02 -2.792631e-03 -1.346592e-03      2
    12 -7.209523e-02 +1.884148e-02 +4.771103e-03 -6.080180e-02     48
    13 +6.488310e-02 -3.450475e-03 +6.538357e-03 -3.222840e-02     28
    14 -5.887921e-03 +3.872632e-02 +1.496971e-02 -1.541533e-02     13
    15 +3.032067e-02 -2.851994e-02 -3.227428e-02 -1.968432e-02     16
    16 +1.028174e-02 -6.517458e-02 +6.683545e-02 -3.524966e-02     29
    17 +2.426863e-02 -3.923154e-03 +4.406818e-02 -6.954763e-02     55
    18 -8.751804e-03 -3.339007e-03 +2.424735e-03 -5.746409e-03      5
    19 -8.424635e-02 -1.797651e-02 -1.784189e-02 -1.914833e-02     17
    20 +6.448581e-02 -5.637991e-02 -1.722676e-01 -7.654939e-02     58
    21 +4.519975e-02 -1.974901e-02 -1.270001e-01 -7.059258e-02     54
    22 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00      1
    23 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00      1
    24 -7.735050e-03 -1.238957e-02 -1.864963e-02 -8.703597e-03      9
    25 +9.301403e-03 -4.586655e-03 -5.188509e-02 -3.152810e-02     22
    26 +1.200104e-02 -1.818945e-02 +5.856804e-03 -3.459367e-03      4
    27 +7.581117e-03 +1.135811e-03 +1.080242e-02 -3.169025e-03      4
    28 +1.044193e-01 +3.462984e-02 +1.398814e-01 -8.395067e-02     64
    29 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00      1
    30 -4.003412e-02 +1.188647e-02 -1.248582e-02 -7.164343e-03      5
    31 +4.843197e-02 +4.073042e-03 +4.344142e-02 -4.142786e-02     31
    32 -7.661465e-03 +8.238834e-03 +7.239418e-03 -2.228494e-03      3
