128
-0X1.3234D5C486C53P-5  0X1.96BA3FF015551P-4 -0X1.4DC04BCB18236P-5 -0X1.E6331F9BE8AD1P-4
-0X1.0AFD2CD69E536P-5  0X1.15DA1D838EADCP-5 0X1.0FCD4DB18C06CP-3 0X1.43B1577041724P-6
-0X1.71D79F5E276BFP-6  0X1.846857BC8121AP-2 0X1.D85EBFD82D4C7P-1 0X1.34C4B89E0C1C6P-2
-0X1.DA1B6E9676F4P-9  -0X1.AD3EFF83FF097P-4 0X1.49C7343224FC3P-5 0X1.1C38A76B750D6P-5
0X1.5A26413FB7E59P-5  0X1.32130D4328B18P-4 -0X1.6CCE211412667P-2 0X1.D10EE05515EA2P-1
0X1.43C42D866E821P-8  -0X1.444BF9EA8C6BEP-4 0X1.E00FF2B6742B7P-3 0X1.F43B977D0FFC6P-4
0X1.6D08FA0E25362P-6  0X1.C99671E36500BP-4 0X1.116144753504DP-3 0X1.1C65939AACED7P-2
-0X1.D3077395132CAP-6  0X1.9C3C50110A21AP-5 0X1.DFAB8E8F0F3D5P-4 0X1.5B23A26898162P-3
-0X1.5EEAF9CB5826EP-6  0X1.B0B4E56147FEFP-4 -0X1.262B0585F8A6FP-3 -0X1.595A964AE2F99P-3
-0X1.79EB14F93001EP-6  0X1.E4B2270012395P-4 0X1.27C823EE46176P-5 0X1.4DB967B3274B9P-5
-0X1.EA23B51DD1E84P-6  -0X1.534BE1DD259B7P-3 0X1.1175093DC1A45P-2 -0X1.B682DCC41138P-4
-0X1.53F60AE1F62C9P-7  0X1.CAEC41F88AD66P-4 0X1.19A80F3230814P-2 -0X1.C62B507C39A45P-4
-0X1.3D0802FD082BP-5  0X1.E119360E9A82AP-5 0X1.0FE17CD784B3AP-2 -0X1.34D1A7A0037F7P-2
0X1.69D4390F41ADP-6  -0X1.1F4935CA9AED2P-5 -0X1.AEBC085A402BAP-4 -0X1.39FA02C94F876P-5
-0X1.ACEB82990835FP-7  0X1.E93D67A3B66F8P-4 0X1.23149679F0A6DP-4 -0X1.6FCC371CBBDFP-4
0X1.76BBE22488064P-7  0X1.D49D23EFDCACBP-5 0X1.F45E887B4B77P-4 0X1.7158523C66CAP-2
0X1.456F3C553695P-7  -0X1.D954356EB169EP-4 0X1.265EA89FAE637P-4 -0X1.3E2D360C0C0E6P-4
-0X1.A3B0E70F7164CP-10  0X1.1FE56DF243FE5P-2 -0X1.243512C57B452P-3 -0X1.7A0166C6F177CP-3
-0X1.60E25DA1FF7B6P-7  0X1.A2B2704201AEAP-4 -0X1.2AF821CD78C96P-6 0X1.4F92507485D9EP-8
0X1.71BF20D8D1C7CP-6  0X1.0C55CFDAE9638P-6 0X1.363BECA8AC593P-3 0X1.6F33E15F7B47BP-2
