128
-0X1.46E1B8B6884CP-11  0X1.88EEB432A23P-4 0X1.DC46DA9D8DEP-2 0X1.27FE25B4A202P-1
0X1.EAEF4A9E0FC9P-9  0X1.36AF26D7DFF8P-1 0X1.E08036FF1A2AP-1 0X1.9EB96B70C5E4P-1
0X1.E7B0B9F47275P-9  0X1.18ED3E67ECD2P-1 0X1.8E95C54CB458P-2 0X1.11A0B86595CP-6
0X1.CAA4DCF2FDB1P-9  0X1.DAE8E6FABDP-7 0X1.F7FC46FC2396P-1 0X1.4B6BD3903P-6
-0X1.84652843D1C3P-9  0X1.CF1C0744A0FEP-1 0X1.D63705FCB388P-1 0X1.7E12EF6A41FAP-1
-0X1.900A75EC5E27P-9  0X1.B8184EA1FC2P-2 0X1.AFF7C90BC1A2P-1 0X1.B94D6F04C03CP-1
0X1.DEE79BF80D14P-11  0X1.663E340493CAP-1 0X1.DE08F880A204P-1 0X1.B9730FD19CCP-6
0X1.017981E08641P-9  0X1.7058D8E3D84CP-1 0X1.1EEE1FC24F4EP-1 0X1.3A8BACF26918P-1
0X1.92893E50B38DP-9  0X1.2DCE048DA06CP-2 0X1.48E32184F94P-2 0X1.69CA5B676072P-1
-0X1.4A922653762EP-10  0X1.6BBDF0CD02AP-3 0X1.090BE7C94F9AP-1 0X1.5F4C5CFF2B14P-1
-0X1.A21BF5C45DD6P-10  0X1.F03744EA0942P-1 0X1.14378E7E25CP-5 0X1.162738C9779EP-1
-0X1.8DA7DF5FC178P-12  0X1.BCA34F7F8C48P-2 0X1.D18DC5D8B618P-3 0X1.998460CF3D3P-1
0X1.3C5E45663DDDP-9  0X1.8685A13D67B8P-3 0X1.304811417A38P-1 0X1.D6CC99DBB56AP-1
-0X1.07DAD2F9F707P-9  0X1.D61A62DD7FCP-1 0X1.5A851BAAFC12P-1 0X1.40E7FFF479BP-3
0X1.B0ECE25AABE5P-9  0X1.CF43C50E0A74P-2 0X1.E2134432B334P-1 0X1.2B92BC2BC9ACP-2
-0X1.DCD812AFB67CP-11  0X1.76C73857CC7CP-1 0X1.3C4F15B1363EP-1 0X1.1695DFA755C8P-1
-0X1.38D89C2FC5A6P-10  0X1.6CA8802E6C4CP-2 0X1.013D21B708AP-2 0X1.A221E96978E2P-1
0X1.AD524CB3FE09P-9  0X1.84CBD3EE26BP-2 0X1.EA2EC07CFE14P-2 0X1.311A07206488P-2
-0X1.9069174F3896P-10  0X1.DEBBE232FEC8P-3 0X1.C165CCE85918P-2 0X1.A8DCBEB44C8EP-1
-0X1.C1D8297F941EP-10  0X1.83080DD88354P-1 0X1.14CBA4536176P-1 0X1.17455C3F8AEP-1
0X1.74F4AA26A17DP-9  0X1.A3CCB90BB9BCP-2 0X1.43619ACAF2E8P-1 0X1.1CFE549D62DAP-1
-0X1.3B63E06E5F38P-12  0X1.24845C1F4DCP-3 0X1.AED941241082P-1 0X1.077BCA167E9CP-1
-0X1.D7426AD8377BP-9  0X1.173FE166F0AAP-1 0X1.5727E5A7CCC8P-2 0X1.C4F0C5D363P-8
0X1.414E1F840A04P-11  0X1.E8B0BF4B02ACP-1 0X1.9CA345D9397P-4 0X1.B417B8A68FP-6
-0X1.97CBB8D8E533P-9  0X1.9988DAD28C2CP-2 0X1.CBFA7CBA9EP-1 0X1.51F275E6AB52P-1
0X1.5EAFFE3BB29P-13  0X1.3E198901808P-5 0X1.8AD9E586687AP-1 0X1.8186D894DBAP-4
-0X1.C68F42E955ABP-9  0X1.8BEB133D022P-5 0X1.5FB3FD97E2FP-3 0X1.37F482516B7EP-1
0X1.872D66701022P-10  0X1.7CAED8ECE284P-1 0X1.55A9D17D7F66P-1 0X1.37515B662A9P-1
-0X1.A466150C26E3P-9  0X1.1786CAB7A738P-3 0X1.9D4B23DDDD98P-1 0X1.00BA7A0F0A4AP-1
-0X1.B14B7D335CC7P-9  0X1.15695CA0B92P-1 0X1.786AC212BEF2P-1 0X1.A1BB8203A0CCP-1
0X1.463D12FFB24AP-10  0X1.95AE0F3C161AP-1 0X1.28C65982FB94P-1 0X1.2969404192B6P-1
-0X1.0C46786052BEP-10  0X1.924AFC1075B8P-2 0X1.D1A0A53BC43CP-2 0X1.B1DD6468C528P-1
-0X1.1BC55413D393P-9  0X1.23B7CA16C006P-1 0X1.13C6EE8889BP-1 0X1.CD1F1932B7C2P-1
-0X1.CDF056F01DB8P-12  0X1.7267C7E61D7P-2 0X1.FE2852E197D4P-2 0X1.1C6DB5BD26A4P-1
-0X1.CDA8FB26D858P-12  0X1.382355EAFA92P-1 0X1.3C6015400DD8P-2 0X1.AE518F56946EP-1
0X1.BDF8A44BFE31P-9  0X1.58EFE34BA3B4P-1 0X1.A1CE648C8EACP-2 0X1.0A009987B88P-2
-0X1.ADA3DAEB9B43P-9  0X1.9CA28F7540BEP-1 0X1.BDF25237D24P-4 0X1.B88EBE386BBAP-1
0X1.68D5F799D659P-9  0X1.3E46A980F0DP-1 0X1.700CE6758EC4P-2 0X1.F00CE03F44FCP-1
0X1.C5BA09357714P-11  0X1.43603146358AP-1 0X1.91C845A6B2C4P-1 0X1.C822640168A6P-1
0X1.590B5BF90EC1P-9  0X1.324239A2350CP-1 0X1.78366FFE4E1CP-2 0X1.77131636C7D8P-1
0X1.CA23F6CBA41AP-10  0X1.C2E3876163F6P-1 0X1.0E2DD9D81D8P-3 0X1.757F2992BC64P-2
0X1.22770C7682D2P-10  0X1.5A01DA72DDAP-3 0X1.0AAFC5D5A568P-3 0X1.398F3E1D27A8P-2
-0X1.8E382A07AC6BP-9  0X1.E876E7CBFE04P-2 0X1.108DD4CD171CP-1 0X1.13D09161875EP-1
0X1.F014905C9851P-9  0X1.5B0C43170DC8P-2 0X1.9BDB33BCA3P-8 0X1.ADA5CDE15FFP-1
-0X1.D09CBF09DD18P-12  0X1.B03ECC71A1AEP-1 0X1.02FE86B611FP-2 0X1.F24DB5C9472AP-1
-0X1.BE54391B287P-13  0X1.BE5BFB893A8P-1 0X1.3C94D90FD3A4P-2 0X1.A1C7140C2B2CP-1
-0X1.42A73AB5299BP-9  0X1.F0F6B4DA1DF4P-2 0X1.329A7FB72FDP-3 0X1.B8E451FCE896P-1
0X1.0F5F8FC52AE1P-9  0X1.7421F79D89EP-4 0X1.D14EE76CB5FEP-1 0X1.DA2C165BFC88P-1
0X1.EA8C604A2EB4P-11  0X1.8401F6F2F1E6P-1 0X1.75A92DDEB88P-4 0X1.C58CA9397A88P-3
-0X1.0FC86BE7EAEEP-10  0X1.066A8491D218P-1 0X1.E4E55DB400CAP-1 0X1.FBB7B368C1P-7
0X1.BCB57410B635P-9  0X1.405BEB013AE4P-2 0X1.D4C6E35FE94CP-1 0X1.338BF2F8044EP-1
-0X1.B727164B531EP-10  0X1.F4B9058B4C14P-1 0X1.F2211302D536P-1 0X1.B1DC593DD68P-3
